


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:20:06, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu mostrar datos empleado, entro al menu empleados, entro al menu registrar empleado, registro a: 9959, entro al menu empleados, entro al menu mostrar datos empleado, entro al menu empleados, entro al menu mantenimiento, entro al menu departamentos, entro al menu mostrar datos Depto, entro al menu departamentos, entro al menu mantenimiento, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.17:34:19, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 
Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:09:03, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:11:09, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:12:02, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu registrar empleado, registro a: 9959, entro al menu empleados, entro al menu registrar empleado, registro a: 4545, entro al menu empleados, entro al menu mantenimiento, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:14:29, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA entro al menu principal, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:18:13, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:20:26, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:21:00, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu registrar empleado, registro a: 56, entro al menu empleados, entro al menu mantenimiento, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:26:19, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:27:41, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:29:39, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:31:53, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:33:27, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:34:26, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:37:09, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzale, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-26.18:38:43, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-30.09:29:22, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-31.15:29:43, entro al menu principal, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-31.16:08:07, entro al menu principal, entro al menu mantenimiento, entro al menu empleados, entro al menu registrar empleado, registro a: 9959, entro al menu empleados, entro al menu modificar empleados, busco a: 9959 y la modificacion es: 45, entro al menu empleados, entro al menu mostrar datos empleado, entro al menu empleados, entro al menu mantenimiento, entro al menu departamentos, registro el Depto: 56, entro al menu departamentos, entro al menu mantenimiento, entro al menu principal, entro al MENU NOMINA entro MOSTRAR EMPLEADOS EN NOMINA 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-31.16:16:41, entro al menu principal, ingreso a menu Poliza, ingreso a Mostrar Reclamaciones de poliza, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-31.16:17:44, entro al menu principal, ingreso a menu Poliza, ingreso a agregar reclamante en Poliza, ingreso a verificar Poliza, 


Usuario: carlosGonza¤ez, El usuario y/o contrasena son incorrectos, intentos: 1, 


Usuario: carlosGonzalezFecha AAMMDD / Hora, minutos, segundos: 2022-05-31.16:18:59, entro al menu principal, entro al menu Impuestos, entro al menu Registrar Concepto Impuesto registro el impuesto: 01, entro al menu Impuestos, entro al menu Mostrar Datos concepto Impuestos, entro al menu Impuestos, entro al menu Eliminar CONCEPTO Impuestos elimino el concepto impuesto: 01, elimino el concepto impuesto: 01, entro al menu Impuestos, entro al menu Mostrar Datos concepto Impuestos, entro al menu Impuestos, entro al menu principal, entro a mostrar bitacora, 
